TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
TX000001,AC00128,530.14,2023-04-11 10:23:00,Credit,Seattle,D000380,162.198.218.92,M015,ATM,40,Doctor,81,1,17036.94,2024-11-04 08:08:08
TX000002,AC00455,45.99,2023-06-27 09:09:00,Credit,Houston,D000051,13.149.61.4,M052,Online,34,Unemployed,141,1,783.57,2024-11-04 08:09:35
TX000003,AC00019,45.46,2023-07-10 18:14:00,Transfer,Los Angeles,D000235,215.97.143.157,M009,Online,23,Student,56,1,1254.24,2024-11-04 08:07:04
TX000004,AC00070,181.71,2023-05-05 14:37:00,Payment,New York,D000187,200.13.225.150,M002,Online,18,Student,25,1,2222.58,2024-11-04 08:09:06
TX000005,AC00411,57.34,2023-10-16 10:19:00,Debit,Phoenix,D000308,65.164.3.100,M091,Online,40,Engineer,198,1,9287.07,2024-11-04 08:06:39
TX000006,AC00393,250.22,2023-04-03 13:28:00,Credit,New York,D000579,117.67.192.211,M054,Online,24,Engineer,172,1,116.56,2024-11-04 08:06:36
TX000007,AC00199,397.3,2023-02-15 08:05:00,Transfer,Los Angeles,D000241,140.212.253.222,M019,ATM,23,Engineer,139,1,10038.06,2024-11-04 08:10:09
TX000008,AC00069,350.05,2023-05-08 08:47:00,Transfer,Houston,D000500,92.214.76.157,M020,Branch,64,Retired,291,1,8494.28,2024-11-04 08:10:55
TX000009,AC00135,62.47,2023-03-21 19:08:00,Transfer,Miami,D000690,24.148.92.177,M035,Online,21,Student,86,1,2214.57,2024-11-04 08:11:14
TX000010,AC00385,105.94,2023-03-31 21:50:00,Debit,Miami,D000199,32.169.88.41,M007,Online,20,Student,120,2,1629.6,2024-11-04 08:06:32
TX000011,AC00150,881.27,2023-03-14 06:49:00,Debit,New York,D000205,213.15.9.253,M073,ATM,40,Engineer,59,1,11822.26,2024-11-04 08:06:45
TX000012,AC00459,8090.76,2023-02-06 17:04:00,Debit,Chicago,D000589,116.175.11.222,M030,Online,34,Unemployed,173,1,421.83,2024-11-04 08:07:12
TX000013,AC00392,209.23,2023-06-07 12:47:00,Transfer,Miami,D000032,210.98.198.143,M057,Branch,58,Retired,111,1,7247.46,2024-11-04 08:08:38
TX000014,AC00264,5002.86,2023-11-20 11:38:00,Debit,Seattle,D000054,193.83.0.183,M025,ATM,32,Engineer,123,1,14171.56,2024-11-04 08:07:06
TX000015,AC00085,241.65,2023-02-13 16:18:00,Debit,Phoenix,D000309,188.124.181.12,M017,Branch,37,Engineer,134,1,9345.29,2024-11-04 08:10:09
TX000016,AC00270,563.44,2023-12-12 09:04:00,Payment,Dallas,D000466,221.169.49.152,M025,Online,29,Engineer,129,2,15682.01,2024-11-04 08:12:19
TX000017,AC00317,246.83,2023-10-30 02:19:00,Debit,Phoenix,D000671,53.218.177.171,M048,ATM,36,Engineer,158,3,15331.71,2024-11-04 08:07:35
TX000018,AC00359,1144.07,2023-12-14 08:10:00,Payment,Miami,D000432,114.223.129.47,M059,Online,47,Doctor,234,1,21592.63,2024-11-04 08:11:51
TX000019,AC00242,524.12,2023-02-21 08:54:00,Transfer,Los Angeles,D000530,93.218.115.132,M054,ATM,34,Doctor,106,1,25365.73,2024-11-04 08:12:01
TX000020,AC00285,465.76,2023-06-08 03:49:00,Transfer,Las Vegas,D000039,120.170.93.69,M039,Online,26,Engineer,169,1,9632.14,2024-11-04 08:09:20
TX000021,AC00002,181.81,2023-02-28 10:59:00,Debit,Miami,D000152,116.44.12.250,M040,Online,21,Student,38,5,2522.75,2024-11-04 08:09:24
TX000022,AC00014,45.46,2023-08-11 12:26:00,Debit,Miami,D000268,59.132.247.252,M065,Online,37,Engineer,93,1,7207.84,2024-11-04 08:08:13
TX000023,AC00095,1084.3,2023-06-06 17:28:00,Transfer,Houston,D000142,133.63.96.21,M022,ATM,41,Engineer,120,1,12329.54,2024-11-04 08:07:01
TX000024,AC00453,939.83,2023-05-02 10:06:00,Transfer,Houston,D000162,191.82.103.198,M083,Branch,36,Doctor,142,1,20302.16,2024-11-04 08:07:04
TX000025,AC00241,287.43,2023-03-02 08:59:00,Transfer,Chicago,D000036,119.186.154.104,M028,ATM,52,Doctor,96,3,9728.89,2024-11-04 08:07:09
TX000026,AC00041,3962.15,2023-10-20 09:49:00,Debit,Houston,D000671,81.248.235.147,M043,ATM,63,Retired,276,3,8295.18,2024-11-04 08:09:44
TX000027,AC00441,15.69,2023-04-17 20:02:00,Transfer,Los Angeles,D000046,55.154.161.250,M029,Online,41,Engineer,158,2,12496.61,2024-11-04 08:11:38
TX000028,AC00057,1567.51,2023-03-29 08:04:00,Transfer,San Francisco,D000310,21.28.32.1,M008,ATM,46,Doctor,95,2,16903.92,2024-11-04 08:11:59
TX000029,AC00390,62.24,2023-01-24 20:54:00,Transfer,Los Angeles,D000232,152.234.65.155,M092,Online,21,Student,197,2,1193.71,2024-11-04 08:11:22
TX000030,AC00313,323.47,2023-09-20 12:12:00,Transfer,New York,D000297,33.28.138.82,M043,Branch,25,Engineer,283,1,8961.31,2024-11-04 08:08:30
TX000031,AC00367,68.76,2023-07-17 21:15:00,Transfer,Chicago,D000587,35.67.21.23,M091,Branch,23,Student,20,1,2897.54,2024-11-04 08:09:17
TX000032,AC00291,410.26,2023-02-06 11:53:00,Transfer,Las Vegas,D000282,187.199.178.27,M053,Online,39,Engineer,257,3,10703.96,2024-11-04 08:06:58
TX000033,AC00060,993.81,2023-09-25 08:11:00,Debit,Chicago,D000621,133.67.250.163,M007,Branch,30,Engineer,168,1,4910.7,2024-11-04 08:11:13
TX000034,AC00359,257.08,2023-03-13 14:38:00,Credit,Los Angeles,D000111,134.140.85.231,M094,Online,49,Freelancer,150,1,5010.57,2024-11-04 08:07:50
TX000035,AC00365,40.78,2023-10-27 14:26:00,Debit,Miami,D000357,92.214.76.157,M002,Online,25,Unemployed,50,1,433.43,2024-11-04 08:10:51
TX000036,AC00267,611.53,2023-10-16 15:53:00,Credit,Chicago,D000042,59.145.242.13,M002,ATM,55,Retired,45,1,8491.3,2024-11-04 08:06:23
TX000037,AC00404,22.55,2023-11-21 11:44:00,Credit,Seattle,D000250,33.28.138.82,M028,Online,47,Engineer,145,2,15392.75,2024-11-04 08:12:18
TX000038,AC00202,2837.28,2023-03-02 04:59:00,Debit,Dallas,D000448,73.108.76.238,M074,ATM,43,Engineer,137,1,15473.66,2024-11-04 08:11:15
TX000039,AC00478,3700.69,2023-10-12 15:32:00,Debit,Houston,D000077,49.29.37.185,M048,Online,25,Student,90,1,1015.14,2024-11-04 08:11:17
TX000040,AC00405,1198.18,2023-01-24 21:14:00,Debit,Los Angeles,D000038,49.20.211.229,M040,Online,49,Doctor,216,1,10192.86,2024-11-04 08:07:32
TX000041,AC00421,647.15,2023-07-31 22:20:00,Transfer,Phoenix,D000557,6.234.101.35,M014,ATM,35,Engineer,119,1,12244.94,2024-11-04 08:07:31
TX000042,AC00480,486.15,2023-01-09 14:43:00,Payment,New York,D000627,109.105.179.186,M046,ATM,24,Doctor,19,2,15367.37,2024-11-04 08:11:45
TX000043,AC00120,545.13,2023-04-20 01:16:00,Debit,Houston,D000198,60.89.202.192,M044,Branch,52,Engineer,116,1,15827.51,2024-11-04 08:09:03
TX000044,AC00117,440.94,2023-04-12 07:54:00,Payment,Chicago,D000197,173.135.78.201,M009,ATM,30,Freelancer,117,1,8436.85,2024-11-04 08:08:03
TX000045,AC00011,6160.19,2023-07-26 18:51:00,Credit,Dallas,D000685,77.208.193.198,M005,ATM,29,Engineer,33,1,12655.78,2024-11-04 08:09:53
TX000046,AC00401,42.8,2023-10-04 18:36:00,Debit,New York,D000297,197.162.55.147,M051,Online,21,Student,90,1,74.49,2024-11-04 08:11:12
TX000047,AC00282,591.34,2023-12-13 21:48:00,Debit,Miami,D000103,113.115.81.178,M070,Online,35,Engineer,75,1,20081.33,2024-11-04 08:10:33
TX000048,AC00439,188.84,2023-10-09 14:55:00,Credit,Phoenix,D000397,186.135.2.148,M090,Online,35,Doctor,105,1,16729.07,2024-11-04 08:11:35
TX000049,AC00296,715.21,2023-11-27 19:14:00,Transfer,Houston,D000284,93.146.251.20,M023,ATM,57,Doctor,138,4,26420.64,2024-11-04 08:07:24
TX000050,AC00471,202.95,2023-03-27 18:19:00,Transfer,New York,D000304,124.6.134.78,M055,ATM,39,Engineer,175,1,5517.96,2024-11-04 08:06:31
TX000051,AC00159,134.92,2023-02-13 14:18:00,Debit,Seattle,D000661,139.23.212.102,M040,Online,22,Unemployed,121,1,130.63,2024-11-04 08:07:07
TX000052,AC00482,15.02,2023-02-21 17:00:00,Debit,Houston,D000598,179.43.245.131,M015,ATM,65,Retired,264,1,6257.33,2024-11-04 08:09:02
